PRNAME,PRNAME_character,PRNAME_character_abrege,MS_name
10,Newfoundland_and_Labrador/Terre-Neuve-et-Labrador,NL,NewfoundlandAndLabrador
11,Prince_Edward_Island/Île-du-Prince-Édouard,PE,PrinceEdwardIsland
12,Nova_Scotia/Nouvelle-Écosse,NS,NovaScotia
13,New_Brunswick/Nouveau-Brunswick,NB,NewBrunswick
24,Quebec/Québec,QC,Quebec
35,Ontario,ON,Ontario
46,Manitoba,MB,Manitoba
47,Saskatchewan,SK,Saskatchewan
48,Alberta,AB,Alberta
59,British_Columbia/Colombie-Britannique,BC,BritishColumbia
61,Northwest_Territories/Territoires_du_Nord-Ouest,NT,NorthwestTerritories
60,Yukon,YT,YukonTerritory
62,Nunavut,NU,Nunavut
